category,short_code,name,price,is_veg,has_variants,notes
Blizzards,61,Roast Almond Blizzard,79,1,0,
Blizzards,62,Brownie Blizzard,79,1,0,
Blizzards,63,Oreo Blizzard,79,1,0,
Blizzards,64,Strawberry Blizzard,79,1,0,
Blizzards,65,Mango Blizzard,79,1,0,
Blizzards,66,Biscoff Blizzard,99,1,0,
Blizzards,77,Strawberry(desert),99,1,0,
Blizzards,78,Coockies(desert),99,1,0,spelling as in Petpooja
Blizzards,79,Coffee(desert),99,1,0,
Blizzards,90,8,8,1,0,open-price filler item
Blizzards,91,5,5,1,0,open-price filler item
Burgers,54,Veggie Burger,99,1,0,
Burgers,55,Paneer Burger,109,1,0,
Burgers,56,Chicken Burger,119,0,0,
Chillers,26,Cranberry Chiller,99,1,0,
Chillers,27,Peach Chiller,99,1,0,
Chillers,80,Lemonade Soda,59,1,0,
Drinking Coco,9,Hot Coco,0,1,1,hickey chota 39 / sip 99
Drinking Coco,10,Brownie With Hot Coco,0,1,1,hickey chota 59 / sip 129
Drinking Coco,11,Cold Coco,139,1,0,
Drinking Coco,72,Green Tea(chota),30,1,0,
Drinking Coco,76,Green Tea Chota (lemon&honey),40,1,0,
Frappe,28,Simple Blend Frappe,99,1,0,
Frappe,29,Caramel Blend Frappe,109,1,0,
Frappe,30,Brownie Blend Frappe,109,1,0,
Frappe,31,Oreo Blend Frappe,109,1,0,
Frappe,32,Hazelnut Blend Frappe,119,1,0,
Frappe,33,Biscoff Blend Frappe,119,1,0,
Frappe,34,Any Reg Frappe,169,1,0,
Hot Coffee,1,Espresso,0,1,1,chota 49 / sip 99
Hot Coffee,2,Americano,0,1,1,chota 30 / sip 79
Hot Coffee,3,Cafe Latte,0,1,1,chota 40 / sip 99
Hot Coffee,4,Cappuccino,0,1,1,chota 40 / sip 99
Hot Coffee,5,Flat White,0,1,1,chota 50 / sip 129
Hot Coffee,6,Dark Mocha,0,1,1,chota 50 / sip 139
Hot Coffee,7,White Mocha,0,1,1,chota 50 / sip 139
Hot Coffee,8,Zebra Mocha,0,1,1,chota 59 / sip 149
Iced Coffee,19,Affogato,69,1,0,
Iced Coffee,20,Iced Americano,89,1,0,
Iced Coffee,21,Iced Cranberry,99,1,0,
Iced Coffee,22,Spanish Latte,109,1,0,
Iced Coffee,23,Iced Mocha,99,1,0,
Iced Coffee,24,The Og Iced Coffee,119,1,0,
Iced Coffee,25,Any Reg Of Iced Coffee,169,1,0,
Iced Teas,35,Peach Ice Tea,119,1,0,
Iced Teas,36,Mango Ice Tea,129,1,0,
Iced Teas,37,Taichi Milk Tea,139,1,0,
Iced Teas,81,Lemon Ice Tea,79,1,0,
Matcha,67,Matcha Ice Tea,129,1,0,
Matcha,68,Matcha Latte,149,1,0,
Matcha,69,Cranberry Matcha,149,1,0,
Matcha,70,Mango Matcha,179,1,0,
Matcha,71,Strawberry Matcha,179,1,0,
Non-Veg Bite Size,44,Chicken Cheese Balls (5 Pcs),99,0,0,
Non-Veg Bite Size,45,Chicken Pops (10 Pcs),99,0,0,
Non-Veg Bite Size,46,Chicken Momos (5 Pcs),99,0,0,
Non-Veg Bite Size,47,Loaded Fries (Non-Veg),189,0,0,
Non-Veg Bite Size,83,Chicken Spring Roll,99,0,0,
Sandwiches,48,Veggie Sandwich,79,1,0,
Sandwiches,49,Vadapav Sandwich,89,1,0,
Sandwiches,50,Nutella Sandwich,99,1,0,
Sandwiches,51,PB&J Sandwich,99,1,0,
Sandwiches,52,Egg & Mayo Sandwich,99,egg,0,egg marker (yellow) in Petpooja
Sandwiches,53,Smoked Chicken Sandwich,109,0,0,
Sandwiches,82,Panner Sandwich,109,1,0,spelling as in Petpooja
Shakes,12,Roast Almond Shake,99,1,0,
Shakes,13,Cookies & Cream Shake,109,1,0,
Shakes,14,Mango Shake,109,1,0,
Shakes,15,Strawberry Shake,109,1,0,
Shakes,16,Brownie Cheesecake Shake,119,1,0,
Shakes,17,Hazelnut Crunch Shake,119,1,0,
Shakes,18,Any Reg Shake,169,1,0,
Veg Bite Size,38,Pizza Pockets (2 Pcs),89,1,0,
Veg Bite Size,39,Spring Rolls (3 Pcs),89,1,0,
Veg Bite Size,40,Onion Rings (5 Pcs),99,1,0,
Veg Bite Size,41,Veg Momos (5 Pcs),89,1,0,
Veg Bite Size,42,Fries (Small Container),119,1,0,
Veg Bite Size,43,Loaded Fries (Veg),169,1,0,
Veg Bite Size,73,Cups Noodles,65,1,0,
Waffles,57,Maple Waffle,99,1,0,
Waffles,58,Double Chocolate Waffle,129,1,0,
Waffles,59,White Chocolate Waffle/dark,119,1,0,name truncated in Petpooja UI
Waffles,60,Cheese & Berry Waffle,129,1,0,
Waffles,brownie,Brownie,69,1,0,
Waffles,chocolava,Chocolava,69,1,0,
Waffles,scoop over cake,Scoop Over Cake,99,1,0,
Waffles,water bottle 500ml,Water Bottle 500ml,10,1,0,
Waffles,74,Watter Bottle(1 Litre),20,1,0,spelling as in Petpooja
Waffles,75,Milk(1 Litre),70,1,0,
